ISIN;Название;Эффективная доходность (YTM), %;Кредитное качество (рэнкинг);Кредитное качество (число, max=10);Коэф. Ликвидности (max=100);Лет до даты;Цена, % от номинала;Событие в дату;Текущий номинал;НКД;Размер купона;Текущий купон, %;Купон (раз/год);Тип купона;Тип эмитента;Текущая цена + НКД;чистая прибыль;ROI (всего)
RU000A1038M5;ГТЛК 1P-20;22,7; BBB;7;34,1;2,4;98,45;право продать (put);1000;25,39;50,24;7,85;4;плавающий;корпоративные;1009,89;442,27;0,437938785
RU000A10A968; ВТБС1-1396;0; AA;9;16,9;2,3;69,56;погашение;1000;0;0,3;0,01;0;фиксированный;корпоративные;695,6;304,4;0,437607821
RU000A10BP38;Якут-34005;19,3; BBB;7;30,9;2,5;102,06;погашение;1000;1,04;15,62;22;12;плавающий;субфедеральные/муниципальные;1021,64;446,96;0,437492659
RU000A10A3Q3;АНТЕРРА-03;29; B;3;41,7;2,1;105,71;погашение;1000;55,89;74,79;30;4;фиксированный;корпоративные;1112,99;485,33;0,436059623
RU000A10AZG2;КЛВЗ 1P02;21,8; B;3;43,1;2,3;112,91;погашение;1000;0,77;23,01;28;12;фиксированный;корпоративные;1129,87;491,4;0,434917291
RU000A10D4V8;АйДиКол1P6;24,7; B+;4;49,9;2;100,38;право продать (put);1000;3,08;18,49;22,5;12;фиксированный;корпоративные;1006,88;436,88;0,433894804
RU000A10AST0;ССекьюр_А;19; n/a;;44,4;2,3;106,51;досрочное погашение;1000;0,63;19,53;23;12;фиксированный;корпоративные;1065,73;461,58;0,433111576
RU000A10AT01;ЛКХ-02;25,5; B;3;35,6;2,2;114;погашение;1000;20,38;25,48;31;12;фиксированный;корпоративные;1160,38;502,1;0,43270308
RU000A105XE7;ВымпелК1Р2;16,8; A;8;33,2;2,5;85,09;вероятность выкупа (call);1000;9,68;23,19;9,3;4;фиксированный;корпоративные;860,58;371,32;0,431476446
RU000A106UA9;СМАК БП02;27,7; CCC;2;24,5;1,8;88,08;погашение;1000;0;12,33;16;12;изменяемый;корпоративные;880,8;378,13;0,429302906
RU000A10C097; ВТБС1-1555;8,7; AA;9;13,4;4,9;69,99;погашение;1000;0,01;0,5;0,01;0;фиксированный;корпоративные;699,91;300,09;0,428755126
RU000A10CWF7;ПГК3Р01;17,1; AA;9;57,4;2,9;99,69;погашение;1000;11,22;12,95;15,75;12;фиксированный;корпоративные;1008,12;432,18;0,428698964
RU000A10A950; ВТБС1-1395;0; AA;9;15,3;2,1;70;погашение;1000;0;0,3;0,01;0;фиксированный;корпоративные;700;300;0,428571429
